,Unnamed: 0,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Pop_White,Pop_Black,Pop_AIAN,Pop_Asian,Pop_NHPI,Pop_Total,Cases_TotalN,Cases_WhiteN,Cases_BlackN,Cases_AsianN,Cases_AIANN,Cases_NHPIN,Deaths_TotalN,Deaths_WhiteN,Deaths_BlackN,Deaths_AsianN,Deaths_AIANN,Deaths_NHPIN
0,0,9/16/2020,AK,7365,1647,247,0,168,1124,253,228,220,3478,396,2498,4471,44,18,0,0,3,16,5,0,0,2,1,40,3,483873,24441,106268,38882,7662,710231,0.010369866,0.003403786,0.010105969,0.004320765,0.010577032,0.033020099,6.20E-05,3.72E-05,0,7.72E-05,0.000150563,0.000652571
1,1,9/16/2020,AL,141087,42656,32327,0,497,0,0,0,9194,56411,7383,61300,72390,2392,1230,893,0,8,0,0,0,52,209,64,1920,407,3362877,1259224,32903,55240,5208,4779736,0.029517739,0.012684377,0.02567216,0.008997104,0,0,0.000500446,0.000365758,0.000709167,0.000144823,0,0
2,2,9/16/2020,AR,72219,40731,15527,0,865,188,2238,583,5055,7032,14227,57991,1,1157,659,224,0,13,2,43,7,52,157,77,1080,1157,2342403,454021,26134,37537,6685,2915918,0.024767157,0.017388554,0.034198859,0.02304393,0.007193694,0.334779357,0.000396788,0.000281335,0.000493369,0.000346325,7.65E-05,0.006432311
3,3,9/16/2020,AZ,209907,50386,6366,63752,2047,12442,0,0,6848,68066,63752,78089,68066,5371,1845,169,1639,62,566,0,0,89,603,1639,3129,603,5418483,280905,335278,188456,16112,6392017,0.03283893,0.009298913,0.022662466,0.010861952,0.037109503,0,0.000840267,0.000340501,0.000601627,0.000328989,0.001688151,0
4,4,9/16/2020,CA,762963,88615,22345,318025,28773,1315,2874,5273,55644,240099,318025,204839,240099,14615,4243,1101,6939,1673,42,58,98,110,351,6939,7325,351,27636403,2486549,622107,5038123,181431,37253956,0.020480053,0.003206459,0.00898635,0.005711055,0.002113784,0.015840733,0.000392307,0.000153529,0.000442782,0.000332068,6.75E-05,0.000319681
5,5,9/16/2020,CO,62099,23032,2806,23349,1223,335,242,832,496,9780,23349,28966,0,1905,1192,121,441,60,13,5,26,8,35,441,1425,35,4450623,214919,78144,144819,8420,5029196,0.012347699,0.005175006,0.013056082,0.008445024,0.004286957,0.028741093,0.000378788,0.000267828,0.000563003,0.00041431,0.00016636,0.000593824
6,6,9/16/2020,CT,55166,19362,7263,10813,811,53,0,236,384,16244,10813,28109,16244,4487,3279,661,400,48,2,0,35,21,41,400,4046,41,2950820,392131,16734,140516,3491,3574097,0.015434948,0.006561566,0.018521872,0.005771585,0.003167204,0,0.001255422,0.001111217,0.001685661,0.000341598,0.000119517,0
7,7,9/16/2020,DC,14743,3206,7566,0,230,37,39,0,3573,92,3780,9681,1282,617,67,459,77,8,0,0,0,0,6,77,534,6,251265,310379,3264,21705,770,601723,0.024501307,0.012759437,0.024376649,0.010596637,0.011335784,0.050649351,0.001025389,0.000266651,0.001478837,0.000368579,0,0
8,8,9/16/2020,DE,19234,6914,5104,4528,256,0,0,0,893,1539,4528,13167,1539,619,398,160,48,1,0,0,0,12,0,48,571,0,645770,196281,5929,29342,690,897934,0.021420283,0.010706598,0.026003536,0.008724695,0,0,0.00068936,0.000616319,0.000815158,3.41E-05,0,0
9,9,9/16/2020,FL,671201,165636,98469,192387,0,0,0,0,43502,171207,192387,263248,215566,13100,6169,2394,3246,0,0,0,0,548,743,3246,8395,1459,14808867,3078067,89119,474199,18790,18801310,0.035699693,0.01118492,0.031990532,0,0,0,0.00069676,0.000416575,0.000777761,0,0,0
